word,phonemes,g2p_alignment
awai,a w a i,a}a w}w a}a i}i
awak,a w a ʔ,a}a w}w a}a k}ʔ
awal,a w a l,a}a w}w a}a l}l
awalan,a w a l a n,a}a w}w a}a l}l a}a n}n
awalengas,a w a l ə ŋ a s,a}a w}w a}a l}l e}ə n|g}ŋ a}a s}s
awalnya,a w a l ɲ a,a}a w}w a}a l}l n|y}ɲ a}a
awam,a w a m,a}a w}w a}a m}m
awan,a w a n,a}a w}w a}a n}n
awanama,a w a n a m a,a}a w}w a}a n}n a}a m}m a}a
awang,a w a ŋ,a}a w}w a}a n|g}ŋ
awangan,a w a ŋ a n,a}a w}w a}a n|g}ŋ a}a n}n
awar,a w a r,a}a w}w a}a r}r
awaracun,a w a r a tʃ u n,a}a w}w a}a r}r a}a c}tʃ u}u n}n
awas,a w a s,a}a w}w a}a s}s
awasan,a w a s a n,a}a w}w a}a s}s a}a n}n
awat,a w a t,a}a w}w a}a t}t
awawarna,a w a w a r n a,a}a w}w a}a w}w a}a r}r n}n a}a
awet,a w e t,a}a w}w e}e t}t
awin,a w i n,a}a w}w i}i n}n
awur,a w u r,a}a w}w u}u r}r
awut,a w u t,a}a w}w u}u t}t
ayah,a j a h,a}a y}j a}a h}h
ayahanda,a j a h a n d a,a}a y}j a}a h}h a}a n}n d}d a}a
ayahmu,a j a h m u,a}a y}j a}a h}h m}m u}u
ayahnya,a j a h ɲ a,a}a y}j a}a h}h n|y}ɲ a}a
ayak,a j a ʔ,a}a y}j a}a k}ʔ
ayakan,a j a k a n,a}a y}j a}a k}k a}a n}n
ayal,a j a l,a}a y}j a}a l}l
ayam,a j a m,a}a y}j a}a m}m
ayamnya,a j a m ɲ a,a}a y}j a}a m}m n|y}ɲ a}a
ayan,a j a n,a}a y}j a}a n}n
ayanda,a j a n d a,a}a y}j a}a n}n d}d a}a
ayang,a j a ŋ,a}a y}j a}a n|g}ŋ
ayap,a j a p,a}a y}j a}a p}p
ayapan,a j a p a n,a}a y}j a}a p}p a}a n}n
ayar,a j a r,a}a y}j a}a r}r
ayat,a j a t,a}a y}j a}a t}t
ayem,a j ə m,a}a y}j e}ə m}m
ayo,a j o,a}a y}j o}o
ayom,a j o m,a}a y}j o}o m}m
ayu,a j u,a}a y}j u}u
ayuh,a j u h,a}a y}j u}u h}h
ayuhai,a j u h a i,a}a y}j u}u h}h a}a i}i
ayum,a j u m,a}a y}j u}u m}m
ayuman,a j u m a n,a}a y}j u}u m}m a}a n}n
ayun,a j u n,a}a y}j u}u n}n
ayunan,a j u n a n,a}a y}j u}u n}n a}a n}n
ayunda,a j u n d a,a}a y}j u}u n}n d}d a}a
ayut,a j u t,a}a y}j u}u t}t
ayutan,a j u t a n,a}a y}j u}u t}t a}a n}n
azab,a z a b,a}a z}z a}a b}b
azal,a z a l,a}a z}z a}a l}l
azali,a z a l i,a}a z}z a}a l}l i}i
azam,a z a m,a}a z}z a}a m}m
azan,a z a n,a}a z}z a}a n}n
azerbaijan,a z ə r b a i dʒ a n,a}a z}z e}ə r}r b}b a}a i}i j}dʒ a}a n}n
azha,a z h a,a}a z}z h}h a}a
azhar,a z h a r,a}a z}z h}h a}a r}r
azimat,a z i m a t,a}a z}z i}i m}m a}a t}t
azimut,a z i m u t,a}a z}z i}i m}m u}u t}t
azirah,a z i r a h,a}a z}z i}i r}r a}a h}h
aziz,a z i z,a}a z}z i}i z}z
azmat,a z m a t,a}a z}z m}m a}a t}t
ba,b a,b}b a}a
ba',b a ʔ,b}b a}a '}ʔ
ba'da,b a ʔ d a,b}b a}a '}ʔ d}d a}a
baal,b a ʔ a l,b}b a}a|ʔ a}a l}l
bab,b a b,b}b a}a b}b
baba,b a b a,b}b a}a b}b a}a
babad,b a b a d,b}b a}a b}b a}a d}d
babak,b a b a ʔ,b}b a}a b}b a}a k}ʔ
babakan,b a b a k a n,b}b a}a b}b a}a k}k a}a n}n
baban,b a b a n,b}b a}a b}b a}a n}n
babang,b a b a ŋ,b}b a}a b}b a}a n|g}ŋ
babar,b a b a r,b}b a}a b}b a}a r}r
babaran,b a b a r a n,b}b a}a b}b a}a r}r a}a n}n
babas,b a b a s,b}b a}a b}b a}a s}s
babat,b a b a t,b}b a}a b}b a}a t}t
babatan,b a b a t a n,b}b a}a b}b a}a t}t a}a n}n
babe,b a b e,b}b a}a b}b e}e
babi,b a b i,b}b a}a b}b i}i
babil,b a b i l,b}b a}a b}b i}i l}l
babit,b a b i t,b}b a}a b}b i}i t}t
bablas,b a b l a s,b}b a}a b}b l}l a}a s}s
babon,b a b o n,b}b a}a b}b o}o n}n
babu,b a b u,b}b a}a b}b u}u
babun,b a b u n,b}b a}a b}b u}u n}n
babur,b a b u r,b}b a}a b}b u}u r}r
babut,b a b u t,b}b a}a b}b u}u t}t
baca,b a tʃ a,b}b a}a c}tʃ a}a
bacaan,b a tʃ a ʔ a n,b}b a}a c}tʃ a}a|ʔ a}a n}n
bacah,b a tʃ a h,b}b a}a c}tʃ a}a h}h
bacak,b a tʃ a ʔ,b}b a}a c}tʃ a}a k}ʔ
bacang,b a tʃ a ŋ,b}b a}a c}tʃ a}a n|g}ŋ
bacar,b a tʃ a r,b}b a}a c}tʃ a}a r}r
bacek,b a tʃ ə ʔ,b}b a}a c}tʃ e}ə k}ʔ
bacem,b a tʃ ə m,b}b a}a c}tʃ e}ə m}m
baceman,b a tʃ ə m a n,b}b a}a c}tʃ e}ə m}m a}a n}n
bacik,b a tʃ i ʔ,b}b a}a c}tʃ i}i k}ʔ
bacin,b a tʃ i n,b}b a}a c}tʃ i}i n}n
bacok,b a tʃ o ʔ,b}b a}a c}tʃ o}o k}ʔ
bacokan,b a tʃ o k a n,b}b a}a c}tʃ o}o k}k a}a n}n
bacot,b a tʃ o t,b}b a}a c}tʃ o}o t}t
bacul,b a tʃ u l,b}b a}a c}tʃ u}u l}l
bacut,b a tʃ u t,b}b a}a c}tʃ u}u t}t
bad,b a d,b}b a}a d}d
bada,b a d a,b}b a}a d}d a}a
badai,b a d a i,b}b a}a d}d a}a i}i
badak,b a d a ʔ,b}b a}a d}d a}a k}ʔ
badal,b a d a l,b}b a}a d}d a}a l}l
badam,b a d a m,b}b a}a d}d a}a m}m
badan,b a d a n,b}b a}a d}d a}a n}n
badang,b a d a ŋ,b}b a}a d}d a}a n|g}ŋ
badannya,b a d a n ɲ a,b}b a}a d}d a}a n}n n|y}ɲ a}a
badar,b a d a r,b}b a}a d}d a}a r}r
badari,b a d a r i,b}b a}a d}d a}a r}r i}i
badau,b a d a u,b}b a}a d}d a}a u}u
bade,b a d e,b}b a}a d}d e}e
badi,b a d i,b}b a}a d}d i}i
badik,b a d i ʔ,b}b a}a d}d i}i k}ʔ
badminton,b a d m i n t o n,b}b a}a d}d m}m i}i n}n t}t o}o n}n
badong,b a d o ŋ,b}b a}a d}d o}o n|g}ŋ
baduk,b a d u ʔ,b}b a}a d}d u}u k}ʔ
badung,b a d u ŋ,b}b a}a d}d u}u n|g}ŋ
badur,b a d u r,b}b a}a d}d u}u r}r
badut,b a d u t,b}b a}a d}d u}u t}t
baduyut,b a d u j u t,b}b a}a d}d u}u y}j u}u t}t
bafta,b a f t a,b}b a}a f}f t}t a}a
bagai,b a ɡ a i,b}b a}a g}ɡ a}a i}i
bagaikan,b a ɡ a i k a n,b}b a}a g}ɡ a}a i}i k}k a}a n}n
bagaimana,b a ɡ a i m a n a,b}b a}a g}ɡ a}a i}i m}m a}a n}n a}a
bagaimanapun,b a ɡ a i m a n a p u n,b}b a}a g}ɡ a}a i}i m}m a}a n}n a}a p}p u}u n}n
bagak,b a ɡ a ʔ,b}b a}a g}ɡ a}a k}ʔ
bagal,b a ɡ a l,b}b a}a g}ɡ a}a l}l
bagan,b a ɡ a n,b}b a}a g}ɡ a}a n}n
bagang,b a ɡ a ŋ,b}b a}a g}ɡ a}a n|g}ŋ
bagar,b a ɡ a r,b}b a}a g}ɡ a}a r}r
bagas,b a ɡ a s,b}b a}a g}ɡ a}a s}s
bagasi,b a ɡ a s i,b}b a}a g}ɡ a}a s}s i}i
bagat,b a ɡ a t,b}b a}a g}ɡ a}a t}t
bagau,b a ɡ a u,b}b a}a g}ɡ a}a u}u
bagea,b a ɡ e a,b}b a}a g}ɡ e}e a}a
bagi,b a ɡ i,b}b a}a g}ɡ i}i
bagian,b a ɡ i a n,b}b a}a g}ɡ i}i a}a n}n
bagimu,b a ɡ i m u,b}b a}a g}ɡ i}i m}m u}u
baginda,b a ɡ i n d a,b}b a}a g}ɡ i}i n}n d}d a}a
baginya,b a ɡ i ɲ a,b}b a}a g}ɡ i}i n|y}ɲ a}a
bagong,b a ɡ o ŋ,b}b a}a g}ɡ o}o n|g}ŋ
bagor,b a ɡ o r,b}b a}a g}ɡ o}o r}r
baguk,b a ɡ u ʔ,b}b a}a g}ɡ u}u k}ʔ
bagul,b a ɡ u l,b}b a}a g}ɡ u}u l}l
bagur,b a ɡ u r,b}b a}a g}ɡ u}u r}r
bagus,b a ɡ u s,b}b a}a g}ɡ u}u s}s
bagusan,b a ɡ u s a n,b}b a}a g}ɡ u}u s}s a}a n}n
bagusnya,b a ɡ u s ɲ a,b}b a}a g}ɡ u}u s}s n|y}ɲ a}a
bah,b a h,b}b a}a h}h
bahadur,b a h a d u r,b}b a}a h}h a}a d}d u}u r}r
bahaduri,b a h a d u r i,b}b a}a h}h a}a d}d u}u r}r i}i
bahagi,b a h a ɡ i,b}b a}a h}h a}a g}ɡ i}i
bahagia,b a h a ɡ i a,b}b a}a h}h a}a g}ɡ i}i a}a
bahagian,b a h a ɡ i a n,b}b a}a h}h a}a g}ɡ i}i a}a n}n
bahak,b a h a ʔ,b}b a}a h}h a}a k}ʔ
bahala,b a h a l a,b}b a}a h}h a}a l}l a}a
baham,b a h a m,b}b a}a h}h a}a m}m
bahan,b a h a n,b}b a}a h}h a}a n}n
bahana,b a h a n a,b}b a}a h}h a}a n}n a}a
bahang,b a h a ŋ,b}b a}a h}h a}a n|g}ŋ
bahannya,b a h a n ɲ a,b}b a}a h}h a}a n}n n|y}ɲ a}a
bahar,b a h a r,b}b a}a h}h a}a r}r
bahara,b a h a r a,b}b a}a h}h a}a r}r a}a
bahari,b a h a r i,b}b a}a h}h a}a r}r i}i
bahariwan,b a h a r i w a n,b}b a}a h}h a}a r}r i}i w}w a}a n}n
baharu,b a h a r u,b}b a}a h}h a}a r}r u}u
bahas,b a h a s,b}b a}a h}h a}a s}s
bahasa,b a h a s a,b}b a}a h}h a}a s}s a}a
bahasan,b a h a s a n,b}b a}a h}h a}a s}s a}a n}n
bahasawan,b a h a s a w a n,b}b a}a h}h a}a s}s a}a w}w a}a n}n
bahawa,b a h a w a,b}b a}a h}h a}a w}w a}a
bahaya,b a h a j a,b}b a}a h}h a}a y}j a}a
bahenol,b a h e n o l,b}b a}a h}h e}e n}n o}o l}l
baheula,b a h ə u l a,b}b a}a h}h e}ə u}u l}l a}a
bahimiah,b a h i m i a h,b}b a}a h}h i}i m}m i}i a}a h}h
bahkan,b a h k a n,b}b a}a h}h k}k a}a n}n
bahrulhayat,b a h r u l h a j a t,b}b a}a h}h r}r u}u l}l h}h a}a y}j a}a t}t
bahtera,b a h t ə r a,b}b a}a h}h t}t e}ə r}r a}a
bahu,b a h u,b}b a}a h}h u}u
bahuku,b a h u k u,b}b a}a h}h u}u k}k u}u
bahunya,b a h u ɲ a,b}b a}a h}h u}u n|y}ɲ a}a
bahwa,b a h w a,b}b a}a h}h w}w a}a
bahwasanya,b a h w a s a ɲ a,b}b a}a h}h w}w a}a s}s a}a n|y}ɲ a}a
baiat,b a i a t,b}b a}a i}i a}a t}t
baid,b a i d,b}b a}a i}i d}d
baiduri,b a i d u r i,b}b a}a i}i d}d u}u r}r i}i
baik,b a i ʔ,b}b a}a i}i k}ʔ
baikan,b a i k a n,b}b a}a i}i k}k a}a n}n
baiklah,b a i ʔ l a h,b}b a}a i}i k}ʔ l}l a}a h}h
baiknya,b a i ʔ ɲ a,b}b a}a i}i k}ʔ n|y}ɲ a}a
bain,b a i n,b}b a}a i}i n}n
bainah,b a i n a h,b}b a}a i}i n}n a}a h}h
bait,b a i t,b}b a}a i}i t}t
baja,b a dʒ a,b}b a}a j}dʒ a}a
bajaj,b a dʒ a dʒ,b}b a}a j}dʒ a}a j}dʒ
bajak,b a dʒ a ʔ,b}b a}a j}dʒ a}a k}ʔ
bajakan,b a dʒ a k a n,b}b a}a j}dʒ a}a k}k a}a n}n
bajan,b a dʒ a n,b}b a}a j}dʒ a}a n}n
bajang,b a dʒ a ŋ,b}b a}a j}dʒ a}a n|g}ŋ
bajau,b a dʒ a u,b}b a}a j}dʒ a}a u}u
baji,b a dʒ i,b}b a}a j}dʒ i}i
bajigur,b a dʒ i ɡ u r,b}b a}a j}dʒ i}i g}ɡ u}u r}r
bajik,b a dʒ i ʔ,b}b a}a j}dʒ i}i k}ʔ
bajing,b a dʒ i ŋ,b}b a}a j}dʒ i}i n|g}ŋ
bajingan,b a dʒ i ŋ a n,b}b a}a j}dʒ i}i n|g}ŋ a}a n}n
baju,b a dʒ u,b}b a}a j}dʒ u}u
bajuku,b a dʒ u k u,b}b a}a j}dʒ u}u k}k u}u
bajul,b a dʒ u l,b}b a}a j}dʒ u}u l}l
bajumu,b a dʒ u m u,b}b a}a j}dʒ u}u m}m u}u
bajunya,b a dʒ u ɲ a,b}b a}a j}dʒ u}u n|y}ɲ a}a
bak,b a ʔ,b}b a}a k}ʔ
baka,b a k a,b}b a}a k}k a}a
bakak,b a k a ʔ,b}b a}a k}k a}a k}ʔ
bakal,b a k a l,b}b a}a k}k a}a l}l
bakalan,b a k a l a n,b}b a}a k}k a}a l}l a}a n}n
bakalaureat,b a k a l a u r e a t,b}b a}a k}k a}a l}l a}a u}u r}r e}e a}a t}t
bakam,b a k a m,b}b a}a k}k a}a m}m
bakap,b a k a p,b}b a}a k}k a}a p}p
bakar,b a k a r,b}b a}a k}k a}a r}r
bakaran,b a k a r a n,b}b a}a k}k a}a r}r a}a n}n
bakarat,b a k a r a t,b}b a}a k}k a}a r}r a}a t}t
bakat,b a k a t,b}b a}a k}k a}a t}t
bakau,b a k a u,b}b a}a k}k a}a u}u
bakda,b a ʔ d a,b}b a}a k}ʔ d}d a}a
bakdahu,b a ʔ d a h u,b}b a}a k}ʔ d}d a}a h}h u}u
bakdu,b a ʔ d u,b}b a}a k}ʔ d}d u}u
bakdul,b a ʔ d u l,b}b a}a k}ʔ d}d u}u l}l
bakelit,b a k ə l i t,b}b a}a k}k e}ə l}l i}i t}t
bakero,b a k e r o,b}b a}a k}k e}e r}r o}o
bakhil,b a x i l,b}b a}a k|h}x i}i l}l
baki,b a k i,b}b a}a k}k i}i
bakiak,b a k i a ʔ,b}b a}a k}k i}i a}a k}ʔ
bakik,b a k i ʔ,b}b a}a k}k i}i k}ʔ
bakir,b a k i r,b}b a}a k}k i}i r}r
bakmi,b a ʔ m i,b}b a}a k}ʔ m}m i}i
bako,b a k o,b}b a}a k}k o}o
bakpao,b a ʔ p a o,b}b a}a k}ʔ p}p a}a o}o
bakpia,b a ʔ p i a,b}b a}a k}ʔ p}p i}i a}a
baksi,b a ʔ s i,b}b a}a k}ʔ s}s i}i
baksis,b a ʔ s i s,b}b a}a k}ʔ s}s i}i s}s
bakso,b a ʔ s o,b}b a}a k}ʔ s}s o}o
baktau,b a ʔ t a u,b}b a}a k}ʔ t}t a}a u}u
bakteri,b a ʔ t e r i,b}b a}a k}ʔ t}t e}e r}r i}i
bakteriolog,b a ʔ t e r i o l o ɡ,b}b a}a k}ʔ t}t e}e r}r i}i o}o l}l o}o g}ɡ
bakteriologi,b a ʔ t e r i o l o ɡ i,b}b a}a k}ʔ t}t e}e r}r i}i o}o l}l o}o g}ɡ i}i
bakti,b a ʔ t i,b}b a}a k}ʔ t}t i}i
baktinya,b a ʔ t i ɲ a,b}b a}a k}ʔ t}t i}i n|y}ɲ a}a
baku,b a k u,b}b a}a k}k u}u
bakul,b a k u l,b}b a}a k}k u}u l}l
bakung,b a k u ŋ,b}b a}a k}k u}u n|g}ŋ
bakup,b a k u p,b}b a}a k}k u}u p}p
bakut,b a k u t,b}b a}a k}k u}u t}t
bakwan,b a ʔ w a n,b}b a}a k}ʔ w}w a}a n}n
bal,b a l,b}b a}a l}l
bala,b a l a,b}b a}a l}l a}a
balabad,b a l a b a d,b}b a}a l}l a}a b}b a}a d}d
balad,b a l a d,b}b a}a l}l a}a d}d
balada,b a l a d a,b}b a}a l}l a}a d}d a}a
balah,b a l a h,b}b a}a l}l a}a h}h
balai,b a l a i,b}b a}a l}l a}a i}i
balairung,b a l a i r u ŋ,b}b a}a l}l a}a i}i r}r u}u n|g}ŋ
balak,b a l a ʔ,b}b a}a l}l a}a k}ʔ
balalaika,b a l a l a i k a,b}b a}a l}l a}a l}l a}a i}i k}k a}a
balam,b a l a m,b}b a}a l}l a}a m}m
balan,b a l a n,b}b a}a l}l a}a n}n
balang,b a l a ŋ,b}b a}a l}l a}a n|g}ŋ
balans,b a l a n s,b}b a}a l}l a}a n}n s}s
balap,b a l a p,b}b a}a l}l a}a p}p
balapan,b a l a p a n,b}b a}a l}l a}a p}p a}a n}n
balar,b a l a r,b}b a}a l}l a}a r}r
balas,b a l a s,b}b a}a l}l a}a s}s
balasan,b a l a s a n,b}b a}a l}l a}a s}s a}a n}n
balatentara,b a l a t ə n t a r a,b}b a}a l}l a}a t}t e}ə n}n t}t a}a r}r a}a
balau,b a l a u,b}b a}a l}l a}a u}u
balela,b a l e l a,b}b a}a l}l e}e l}l a}a
balerina,b a l e r i n a,b}b a}a l}l e}e r}r i}i n}n a}a
balerong,b a l e r o ŋ,b}b a}a l}l e}e r}r o}o n|g}ŋ
balet,b a l e t,b}b a}a l}l e}e t}t
balgam,b a l ɡ a m,b}b a}a l}l g}ɡ a}a m}m
bali,b a l i,b}b a}a l}l i}i
balian,b a l i a n,b}b a}a l}l i}i a}a n}n
balig,b a l i ɡ,b}b a}a l}l i}i g}ɡ
baliho,b a l i h o,b}b a}a l}l i}i h}h o}o
balik,b a l i ʔ,b}b a}a l}l i}i k}ʔ
balikan,b a l i k a n,b}b a}a l}l i}i k}k a}a n}n
balikkan,b a l i ʔ k a n,b}b a}a l}l i}i k}ʔ k}k a}a n}n
baling,b a l i ŋ,b}b a}a l}l i}i n|g}ŋ
balistik,b a l i s t i ʔ,b}b a}a l}l i}i s}s t}t i}i k}ʔ
balkon,b a l k o n,b}b a}a l}l k}k o}o n}n
balok,b a l o ʔ,b}b a}a l}l o}o k}ʔ
balon,b a l o n,b}b a}a l}l o}o n}n
balong,b a l o ŋ,b}b a}a l}l o}o n|g}ŋ
balot,b a l o t,b}b a}a l}l o}o t}t
balsam,b a l s a m,b}b a}a l}l s}s a}a m}m
balu,b a l u,b}b a}a l}l u}u
baluh,b a l u h,b}b a}a l}l u}u h}h
baluhan,b a l u h a n,b}b a}a l}l u}u h}h a}a n}n
balui,b a l u i,b}b a}a l}l u}u i}i
baluk,b a l u ʔ,b}b a}a l}l u}u k}ʔ
balun,b a l u n,b}b a}a l}l u}u n}n
balung,b a l u ŋ,b}b a}a l}l u}u n|g}ŋ
balur,b a l u r,b}b a}a l}l u}u r}r
baluran,b a l u r a n,b}b a}a l}l u}u r}r a}a n}n
balut,b a l u t,b}b a}a l}l u}u t}t
balutan,b a l u t a n,b}b a}a l}l u}u t}t a}a n}n
bam,b a m,b}b a}a m}m
bambang,b a m b a ŋ,b}b a}a m}m b}b a}a n|g}ŋ
bambu,b a m b u,b}b a}a m}m b}b u}u
bambung,b a m b u ŋ,b}b a}a m}m b}b u}u n|g}ŋ
bambungan,b a m b u ŋ a n,b}b a}a m}m b}b u}u n|g}ŋ a}a n}n
ban,b a n,b}b a}a n}n
bana,b a n a,b}b a}a n}n a}a
banal,b a n a l,b}b a}a n}n a}a l}l
banang,b a n a ŋ,b}b a}a n}n a}a n|g}ŋ
banar,b a n a r,b}b a}a n}n a}a r}r
banat,b a n a t,b}b a}a n}n a}a t}t
bancakan,b a n tʃ a k a n,b}b a}a n}n c}tʃ a}a k}k a}a n}n
bancang,b a n tʃ a ŋ,b}b a}a n}n c}tʃ a}a n|g}ŋ
bancar,b a n tʃ a r,b}b a}a n}n c}tʃ a}a r}r
bancet,b a n tʃ e t,b}b a}a n}n c}tʃ e}e t}t
banci,b a n tʃ i,b}b a}a n}n c}tʃ i}i
bancik,b a n tʃ i ʔ,b}b a}a n}n c}tʃ i}i k}ʔ
bancuh,b a n tʃ u h,b}b a}a n}n c}tʃ u}u h}h
bancuhan,b a n tʃ u h a n,b}b a}a n}n c}tʃ u}u h}h a}a n}n
bancut,b a n tʃ u t,b}b a}a n}n c}tʃ u}u t}t
banda,b a n d a,b}b a}a n}n d}d a}a
bandan,b a n d a n,b}b a}a n}n d}d a}a n}n
bandang,b a n d a ŋ,b}b a}a n}n d}d a}a n|g}ŋ
bandar,b a n d a r,b}b a}a n}n d}d a}a r}r
bandara,b a n d a r a,b}b a}a n}n d}d a}a r}r a}a
bandaran,b a n d a r a n,b}b a}a n}n d}d a}a r}r a}a n}n
bandarsah,b a n d a r s a h,b}b a}a n}n d}d a}a r}r s}s a}a h}h
bandea,b a n d e a,b}b a}a n}n d}d e}e a}a
bandel,b a n d ə l,b}b a}a n}n d}d e}ə l}l
bandela,b a n d ə l a,b}b a}a n}n d}d e}ə l}l a}a
bandeng,b a n d ə ŋ,b}b a}a n}n d}d e}ə n|g}ŋ
bandering,b a n d ə r i ŋ,b}b a}a n}n d}d e}ə r}r i}i n|g}ŋ
banderol,b a n d ə r o l,b}b a}a n}n d}d e}ə r}r o}o l}l
banding,b a n d i ŋ,b}b a}a n}n d}d i}i n|g}ŋ
bandingan,b a n d i ŋ a n,b}b a}a n}n d}d i}i n|g}ŋ a}a n}n
bandit,b a n d i t,b}b a}a n}n d}d i}i t}t
banditisme,b a n d i t i s m ə,b}b a}a n}n d}d i}i t}t i}i s}s m}m e}ə
bando,b a n d o,b}b a}a n}n d}d o}o
bandongan,b a n d o ŋ a n,b}b a}a n}n d}d o}o n|g}ŋ a}a n}n
bandos,b a n d o s,b}b a}a n}n d}d o}o s}s
bandot,b a n d o t,b}b a}a n}n d}d o}o t}t
bandrek,b a n d r e ʔ,b}b a}a n}n d}d r}r e}e k}ʔ
bandu,b a n d u,b}b a}a n}n d}d u}u
bandul,b a n d u l,b}b a}a n}n d}d u}u l}l
bandulan,b a n d u l a n,b}b a}a n}n d}d u}u l}l a}a n}n
bandung,b a n d u ŋ,b}b a}a n}n d}d u}u n|g}ŋ
bandusa,b a n d u s a,b}b a}a n}n d}d u}u s}s a}a
bandut,b a n d u t,b}b a}a n}n d}d u}u t}t
bang,b a ŋ,b}b a}a n|g}ŋ
bangai,b a ŋ a i,b}b a}a n|g}ŋ a}a i}i
bangan,b a ŋ a n,b}b a}a n|g}ŋ a}a n}n
bangang,b a ŋ a ŋ,b}b a}a n|g}ŋ a}a n|g}ŋ
bangar,b a ŋ a r,b}b a}a n|g}ŋ a}a r}r
bangas,b a ŋ a s,b}b a}a n|g}ŋ a}a s}s
bangat,b a ŋ a t,b}b a}a n|g}ŋ a}a t}t
bangau,b a ŋ a u,b}b a}a n|g}ŋ a}a u}u
bangbung,b a ŋ b u ŋ,b}b a}a n|g}ŋ b}b u}u n|g}ŋ
banget,b a ŋ ə t,b}b a}a n|g}ŋ e}ə t}t
bangga,b a ŋ ɡ a,b}b a}a n|g}ŋ g}ɡ a}a
bangi,b a ŋ i,b}b a}a n|g}ŋ i}i
bangir,b a ŋ i r,b}b a}a n|g}ŋ i}i r}r
bangka,b a ŋ k a,b}b a}a n|g}ŋ k}k a}a
bangkai,b a ŋ k a i,b}b a}a n|g}ŋ k}k a}a i}i
bangkal,b a ŋ k a l,b}b a}a n|g}ŋ k}k a}a l}l
bangkang,b a ŋ k a ŋ,b}b a}a n|g}ŋ k}k a}a n|g}ŋ
bangkar,b a ŋ k a r,b}b a}a n|g}ŋ k}k a}a r}r
bangkas,b a ŋ k a s,b}b a}a n|g}ŋ k}k a}a s}s
bangkeh,b a ŋ k e h,b}b a}a n|g}ŋ k}k e}e h}h
bangket,b a ŋ k e t,b}b a}a n|g}ŋ k}k e}e t}t
bangking,b a ŋ k i ŋ,b}b a}a n|g}ŋ k}k i}i n|g}ŋ
bangkir,b a ŋ k i r,b}b a}a n|g}ŋ k}k i}i r}r
bangkis,b a ŋ k i s,b}b a}a n|g}ŋ k}k i}i s}s
bangkit,b a ŋ k i t,b}b a}a n|g}ŋ k}k i}i t}t
bangkitan,b a ŋ k i t a n,b}b a}a n|g}ŋ k}k i}i t}t a}a n}n
bangkok,b a ŋ k o ʔ,b}b a}a n|g}ŋ k}k o}o k}ʔ
bangkong,b a ŋ k o ŋ,b}b a}a n|g}ŋ k}k o}o n|g}ŋ
bangkot,b a ŋ k o t,b}b a}a n|g}ŋ k}k o}o t}t
bangkotan,b a ŋ k o t a n,b}b a}a n|g}ŋ k}k o}o t}t a}a n}n
bangkrut,b a ŋ ʔ r u t,b}b a}a n|g}ŋ k}ʔ r}r u}u t}t
bangku,b a ŋ k u,b}b a}a n|g}ŋ k}k u}u
bangkut,b a ŋ k u t,b}b a}a n|g}ŋ k}k u}u t}t
banglas,b a ŋ l a s,b}b a}a n|g}ŋ l}l a}a s}s
bangle,b a ŋ l e,b}b a}a n|g}ŋ l}l e}e
banglo,b a ŋ l o,b}b a}a n|g}ŋ l}l o}o
bango,b a ŋ o,b}b a}a n|g}ŋ o}o
bangor,b a ŋ o r,b}b a}a n|g}ŋ o}o r}r
bangpak,b a ŋ p a ʔ,b}b a}a n|g}ŋ p}p a}a k}ʔ
bangsa,b a ŋ s a,b}b a}a n|g}ŋ s}s a}a
bangsai,b a ŋ s a i,b}b a}a n|g}ŋ s}s a}a i}i
bangsal,b a ŋ s a l,b}b a}a n|g}ŋ s}s a}a l}l
bangsanya,b a ŋ s a ɲ a,b}b a}a n|g}ŋ s}s a}a n|y}ɲ a}a
bangsat,b a ŋ s a t,b}b a}a n|g}ŋ s}s a}a t}t
bangsawan,b a ŋ s a w a n,b}b a}a n|g}ŋ s}s a}a w}w a}a n}n
bangsi,b a ŋ s i,b}b a}a n|g}ŋ s}s i}i
bangun,b a ŋ u n,b}b a}a n|g}ŋ u}u n}n
bangunan,b a ŋ u n a n,b}b a}a n|g}ŋ u}u n}n a}a n}n
bangunkan,b a ŋ u n k a n,b}b a}a n|g}ŋ u}u n}n k}k a}a n}n
bangus,b a ŋ u s,b}b a}a n|g}ŋ u}u s}s
bani,b a n i,b}b a}a n}n i}i
baning,b a n i ŋ,b}b a}a n}n i}i n|g}ŋ
banir,b a n i r,b}b a}a n}n i}i r}r
banjang,b a n dʒ a ŋ,b}b a}a n}n j}dʒ a}a n|g}ŋ
banjar,b a n dʒ a r,b}b a}a n}n j}dʒ a}a r}r
banjaran,b a n dʒ a r a n,b}b a}a n}n j}dʒ a}a r}r a}a n}n
banji,b a n dʒ i,b}b a}a n}n j}dʒ i}i
banjir,b a n dʒ i r,b}b a}a n}n j}dʒ i}i r}r
banjur,b a n dʒ u r,b}b a}a n}n j}dʒ u}u r}r
bank,b a n ʔ,b}b a}a n}n k}ʔ
bankir,b a n k i r,b}b a}a n}n k}k i}i r}r
bantah,b a n t a h,b}b a}a n}n t}t a}a h}h
bantahan,b a n t a h a n,b}b a}a n}n t}t a}a h}h a}a n}n
bantai,b a n t a i,b}b a}a n}n t}t a}a i}i
bantaian,b a n t a i a n,b}b a}a n}n t}t a}a i}i a}a n}n
bantal,b a n t a l,b}b a}a n}n t}t a}a l}l
bantalan,b a n t a l a n,b}b a}a n}n t}t a}a l}l a}a n}n
